出度,入度
2,0
5,1
1,1
1,1
3,3
1,1
1,1
6,3
1,1
1,1
2,1
1,1
1,1
2,3
0,1
1,1
2,2
1,1
1,1
5,6
1,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
0,1
1,1
1,1
1,1
1,1
4,5
1,1
3,2
1,1
3,2
3,1
2,2
1,1
1,1
1,1
3,4
2,1
12,8
1,1
2,5
4,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
2,1
2,2
1,1
1,1
1,1
1,1
2,1
1,1
2,1
2,1
2,1
2,1
1,1
2,1
1,1
2,1
1,1
0,1
1,1
0,1
2,1
0,1
1,1
3,2
2,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,2
1,1
1,1
1,1
1,1
2,1
2,1
1,1
2,2
1,1
2,1
4,1
1,1
0,2
2,1
1,1
0,1
3,2
1,1
1,1
1,1
2,1
2,1
1,1
1,1
3,1
1,1
2,1
2,3
1,1
1,1
1,1
1,1
2,1
1,3
2,2
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
2,2
2,1
4,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
2,1
2,1
2,1
1,1
2,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
2,1
1,7
1,1
1,1
1,1
1,38
24,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
0,1
1,1
2,1
1,2
2,1
1,1
1,1
0,1
1,1
2,1
2,1
1,1
2,1
1,1
1,1
1,1
1,1
0,0
1,1
1,1
1,1
2,1
1,1
0,1
1,2
3,1
2,1
1,1
1,1
1,1
1,1
2,2
1,1
2,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
0,1
0,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
0,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
0,2
1,5
2,1
1,4
3,1
1,1
1,1
1,2
4,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
10,5
0,4
1,1
2,1
2,3
1,1
1,1
1,1
2,1
2,2
0,1
2,1
2,1
2,1
1,1
1,1
2,1
2,2
1,1
1,1
1,1
2,1
2,1
1,1
1,1
1,1
2,2
1,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
2,1
4,3
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
2,6
1,1
2,1
1,1
1,1
1,1
1,35
34,1
2,1
1,1
3,1
1,2
1,2
3,1
2,1
2,1
1,1
1,1
3,1
1,0
1,8
1,2
3,1
1,3
2,1
1,1
1,1
1,1
0,1
1,1
4,1
2,2
2,1
1,1
0,1
1,1
1,1
4,3
1,1
1,1
1,1
1,1
1,4
1,1
1,1
1,1
2,1
1,1
3,2
2,1
1,1
0,1
1,1
2,1
5,2
2,2
1,1
1,1
2,1
1,3
3,3
1,1
1,1
2,1
1,1
0,1
1,1
1,1
2,1
2,2
1,1
1,1
1,1
3,1
2,1
2,1
1,1
0,1
1,1
0,1
1,1
2,1
1,2
2,1
1,2
1,1
1,1
2,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,17
15,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
0,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
2,1
2,1
1,1
1,1
1,1
2,2
2,1
1,6
1,1
4,2
2,1
1,1
1,1
1,1
0,1
0,0
1,2
2,1
2,1
2,2
1,1
1,1
1,1
2,1
2,3
1,1
1,1
1,1
1,1
1,1
1,1
2,1
3,3
1,1
2,1
3,2
2,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
3,3
1,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
0,1
0,1
2,1
1,1
1,1
0,1
1,1
1,1
0,1
1,30
26,1
1,8
2,1
1,1
2,1
1,1
1,1
2,1
1,1
0,1
1,1
1,1
8,3
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
3,1
4,1
2,1
1,2
0,0
1,1
1,1
1,1
11,5
5,1
2,1
1,1
0,0
1,1
3,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,2
3,2
4,2
2,2
1,1
1,1
1,1
1,1
1,3
1,1
0,6
2,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,2
1,1
1,1
1,1
1,1
2,1
1,1
0,1
2,1
1,1
1,1
1,1
1,1
